Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
MUSIC MAKER,GBR8154N,29,10/04/2015,2015,0.823,E,,,0.815,5,265,6.55,2.59,1.35,Multiple,1976,1990,105,15,0,0,0,Yes
ROUSTABOUT,GBR433,134,12/01/2015,2015,0.924,E,,,0.915,7,330,9.95,3.4,1.81,Multiple,1984,1984,110,31,0,0,0,Yes
HULLABALOO XV,GBR108,151,15/04/2015,2015,0.917,E,,,0.906,7,328,9.86,3.41,1.97,Multiple,1978,1978,104,30,0,0,0,Yes
SUPER Q,GBR7027,155,02/03/2015,2015,0.864,,,,0.852,5,233,7.22,2.5,1.38,Multiple,1973,1977,115,15,0,0,0,Yes
SIMPLICITY,GBR1111,179,21/04/2015,2015,0.923,,,,0.908,8,317,10.07,3.26,1.9,Multiple,1977,1977,101,37,0,0,0,Yes
CHEEKY MONKEY,GBR9512,188,08/04/2015,2015,0.889,E,,,0.881,6,228,8.56,2.82,1.78,Multiple,1978,1982,101,23,0,0,0,Yes
TRAMP,GBR5454,247,22/04/2015,2015,0.911,E,,,0.901,7,254,9.84,3.41,1.79,Multiple,1978,1978,104,28,0,0,0,Yes
PERROCHET,GBR6068,268,25/03/2015,2015,0.823,,,,0.813,6,356,7.95,2.66,1.5,Multiple,1970,1974,115,23,0,0,0,Yes
MAGNUM EVOLUTION,GBR7259Y,362,13/04/2015,2015,0.863,,,,0.854,6,265,8.36,2.74,1.41,Multiple,1976,1979,101,19,0,0,0,Yes
HADAJAR,GBR1052T,370,18/02/2015,2015,0.887,,,,0.876,7,278,9,3,1.8,Multiple,1980,1984,103,27,0,0,0,Yes
DRAGONSTAR,GBR4843,389,02/04/2015,2015,0.913,E,,,0.903,8,292,10.5,3.39,1.93,Multiple,1978,1979,105,37,0,0,0,Yes
EXCELLE,GBR4462,404,08/04/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,105,32,24,117,B,Yes
HECATE,H-GBR15,428,10/02/2015,2015,0.839,,,,0.829,6,238,8.28,2.18,1.3,Multiple,1968,1980,105,17,0,0,0,Yes
